Feature,Importance
euribor3m,0.1768701601252911
nr.employed,0.1589495901056403
emp.var.rate,0.13141119403673315
cons.conf.idx,0.06994586650614225
pdays,0.04924450385392377
cons.price.idx,0.04709173418670684
poutcome_success,0.044763599190604804
age,0.030368607733537622
contact_telephone,0.02500951602546209
month_may,0.02445436340205295
contact_cellular,0.021978054533827632
previous,0.020682009193987088
poutcome_nonexistent,0.016903383412644826
campaign,0.01647876376712855
month_oct,0.014638840768334214
month_mar,0.010343819814274083
default_unknown,0.010319068323017376
month_apr,0.00800213867189828
default_no,0.007394290735777901
poutcome_failure,0.006792147921038136
month_jun,0.00599202088003447
job_blue-collar,0.004969012862954727
day_of_week_mon,0.004888401250329574
job_retired,0.00462298231303746
education_university.degree,0.004465697783089691
marital_single,0.004381127189561455
job_student,0.0036752186028024053
day_of_week_thu,0.0036586823021770394
day_of_week_fri,0.0035452438909589373
marital_married,0.003537577363720139
housing_yes,0.0034279503679821243
housing_no,0.0033643699069694243
education_basic.9y,0.003213679782392366
day_of_week_wed,0.0030335381921549076
loan_yes,0.002845317499951727
day_of_week_tue,0.002812764393090694
loan_no,0.0027729283131719064
job_services,0.0027407550979635436
month_jul,0.002705793756832733
education_high.school,0.002615841490771364
job_admin.,0.0025635309928547113
education_basic.4y,0.0024425931885192643
month_nov,0.002424671129064179
marital_divorced,0.0022936122044475617
job_technician,0.0022753404808763074
education_professional.course,0.0022379982357709914
month_sep,0.0021568748480800047
month_aug,0.0021501234143801993
education_unknown,0.0019374120579227633
job_management,0.001847005907986777
job_self-employed,0.0018002644809513354
job_entrepreneur,0.001710924375056979
education_basic.6y,0.0015796890581267864
job_housemaid,0.0014504514833919159
job_unemployed,0.0013258901513720474
loan_unknown,0.0012815203675238917
housing_unknown,0.0012337332199030037
job_unknown,0.001057529966471875
marital_unknown,0.000639565282344126
month_dec,0.0005853401201049731
education_illiterate,9.537348688062835e-05
default_yes,0.0
