Model,Accuracy,Precision_yes,Recall_yes,F1_yes
Logistic Regression,0.8350327749453751,0.3678724708767627,0.646551724137931,0.46893317702227433
Decision Tree,0.8510560815731973,0.39581881533101043,0.6120689655172413,0.4807448159119763
Random Forest,0.855668851663025,0.4095634095634096,0.6368534482758621,0.4985238296077604
