Threshold,Accuracy,Precision_yes,Recall_yes,F1_yes,TN,FP,FN,TP
0.2,0.21158048069919883,0.12226896458135432,0.9709051724137931,0.2171869350367603,842,6468,27,901
0.3,0.49320223355183296,0.16560247167868178,0.8663793103448276,0.2780563721251945,3259,4051,124,804
0.4,0.7483612527312454,0.2716394096529717,0.7338362068965517,0.39650655021834064,5484,1826,247,681
0.5,0.8350327749453751,0.3678724708767627,0.646551724137931,0.46893317702227433,6279,1031,328,600
0.6,0.8595532896334062,0.41744772891131937,0.6239224137931034,0.5002159827213822,6502,808,349,579
